rank,address,raw_balance,tokens,inbound_events,balance_verified,account_type,role,known_remaining_tokens,unknown_remaining_tokens,remaining_cost_coverage_pct,known_remaining_avg_usd,known_remaining_avg_eth,full_balance_avg_usd,lifetime_priced_buys_tokens,lifetime_buy_avg_usd,lifetime_buy_avg_eth,priced_buy_transactions,inbound_transactions,unknown_incoming_tokens,estimated_known_remaining_cost_usd
3,0xfc90fd5e560471fab35e3703bf5ea4c54acee766,35396567309343063040120896,35396567.309343063040120896,215,True,delegated_EOA,delegated_EOA,24766929.374791186966105131729989908259792492394733872822140277852,10629637.934551876074015764270010091740207507605266127177859722148,69.969862213881566505395133544006742351655647168698600986133858249,0.0027665634026449086882621177673602021644816011428218690869462101518,0.0000011162715371483978730245827057134702128860756588122884920587191491,,40055160.677274287637057526467888803715262416242325433195422225052,0.0019071104024730743379258803830300726660989490369704622005702525271,7.6906929548641471750087917272433654757122587786377357691968971728E-7,99,215,14260456.321859790144621200532111196284737583757674566804577774948,68519.280404188447187942968820940660582132095463410629574365291699
4,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,28261709084288612719213630,28261709.08428861271921363,22,True,delegated_EOA,delegated_EOA,4793636.4669403989002880310000000000000000000005792235563396618204,23468072.61734821381892559899999999999999999999942077644366033818,16.961594405503595981507344468801763651501469767927819465444964456,0.0015512544842216103901582701192603661505547556952321908565161751481,6.2395693446461837016623900741269895452249087693887252390473067945E-7,,4793636.4669403989002880310000000000000000000005792235563396618204,0.0015512544842216103901582701192603661505547556952321908565161751481,6.2395693446461837016623900741269895452249087693887252390473067945E-7,10,22,23468072.61734821381892559899999999999999999999942077644366033818,7436.1500650695312025360503026429028361543168735843447342819242566
5,0xd1c77a04b87393e98a1220532e72e8f7d0a31c5a,21445831056752343904962018,21445831.056752343904962018,38,True,delegated_EOA,delegated_EOA,21424454.6391338282628975974783750212851114134203251816945918759,21376.4176185156420644205216249787148885865796748183054081241,99.900323668679721537851870972744356015009045701435222643302372197,0.0023735839629047392798498582214931683243048679470366643729965205348,9.6236910235181463614737047224541806547814064272499100411286850709E-7,,21424454.6391338282628975974783750212851114134203251816945918759,0.0023735839629047392798498582214931683243048679470366643729965205348,9.6236910235181463614737047224541806547814064272499100411286850709E-7,37,38,21376.417618515642064420521624978714888586579674818305408124100238,50852.741945428097997861950906161721799119272023212561076730346936
6,0xfa14f95ecda2b05f0b138428d5bd8f096daf9c3e,20001718618311373490285356,20001718.618311373490285356,6,True,contract,smart_wallet,19363618.670997456855267141986791997134283421234648198941316940223,638099.947313916635018214013208002865716578765351801058683059777,96.809774402436886045053426667610235785395598187813472281821673992,0.0022152090910194194371099829370940624944346190130816512370863333088,8.8441990035963607962727114574481569138657473024753591584883502011E-7,,25786064.083140968031272922052163965775412160895958583967108638828,0.0022152090910194194371099829370940624944346190130816512370863333089,8.8441990035963607962727114574481569138657473024753591584883502011E-7,6,6,849742.3137923190916424339478360342245878391040414160328913611723,42894.464115026935038671170657496239657840991801274105227747671527
7,0x6910c590d8503a1f3ef5ea9b64a5d7c7f3b5feda,19706594567838681398546579,19706594.567838681398546579,15,True,delegated_EOA,delegated_EOA,19706594.567838681398546579,0,100,0.012715238045471784448934669867720371871207510011607733930926265646,0.0000050744434638748184816640481557211367941941899858638358940438565783,0.012715238045471784448934669867720371871207510011607733930926265646,19706594.567838681398546579,0.012715238045471784448934669867720371871207510011607733930926265646,0.0000050744434638748184816640481557211367941941899858638358940438565783,15,15,0,250574.04099567
8,0x211f3727fac8a702302a562616c75b882b6c3545,19594754225730622156772053,19594754.225730622156772053,2,True,EOA,EOA,0,19594754.225730622156772053,0,,,,0,,,0,2,19594754.225730622156772053,0
9,0xf4bf536e2f670761dc7186aafe070b91a1a70540,19587469247091839939558769,19587469.247091839939558769,2,True,EOA,EOA,0,19587469.247091839939558769,0,,,,0,,,0,2,19587469.247091839939558769,0
10,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,15460801450642355811466159,15460801.450642355811466159,12,True,delegated_EOA,delegated_EOA,11177103.411260249369486212000000000000000000000,4283698.039382106441979947000000000000000000000,72.293169580777909759593993371338801826576879262680849112559834967,0.0021090209290483041311536729088846335032995151040922427367213128375,8.5366087567171733751362604710570497576937922240903025856128565122E-7,,11177103.411260249369486212000000000000000000000,0.0021090209290483041311536729088846335032995151040922427367213128375,8.5366087567171733751362604710570497576937922240903025856128565122E-7,2,12,4283698.0393821064419799470000000000000000000000,23572.745020485060455101155039680000000000000000000000000000000000
12,0x211c8e97a504d2d142bc945334d4a88bd3270b4d,13567934148064073508784946,13567934.148064073508784946,137,True,delegated_EOA,delegated_EOA,12377180.217534157297128582100488777348054816592527208588955468359,1190753.930529916211656363899511222651945183407472791411044531641,91.223763930931093952508314941633979928891733527781222023584133545,0.0049785269689333406426565852118124841971364017764705007946874548782,0.0000020256470573650193796755911966811195999046145813102940697719621777,,44053996.591894956253819948941469049426206004123305702291486920522,0.0021864104533665064724370316818651511781011512149078959497771859586,8.8993543027346404393024192198092790907856024830650818505572024964E-7,41,137,1810970.24369619409103839405853095057379399587669429770851307948,61620.125512342033903418338474287393483356484965595767239737778154
13,0x7e3ba68c49561aae7c23c1d20fef0f1d7615a3ad,12388594070091431536344467,12388594.070091431536344467,7,True,EOA,EOA,12033190.578088194546958085965141085115803924341259785543931040792,355403.492003236989386381034858914884196075658740214456068959208,97.131203993024092966163235983995751396499657829907682265187267165,0.019713576170793087298531071566477269579721784207827451597221250090,0.0000079025664887163112435308437695562834024907844059453626094013558600,,16192129.016524810308378478943839447363683970409488094894770265451,0.019868786436299228182167401637975547149377170170321890922629283831,0.0000079651777544591036192555373901335437051915451116614829123804289904,7,7,437789.053566621227965988056160552636316029590511905105229734549,237217.21903881132678752237906018688731828137608483182827501822356
14,0xcdb95f2acdb4917372259648a7342a524ea6fc73,10022354532487607823137007,10022354.532487607823137007,11,True,EOA,EOA,0E-3345,10022354.532487607823137007000000000000000000000,0E-3345,,,,0E-3345,,,0,11,10022354.532487607823137007000000000000000000000,0E-3345
15,0x2bb2173427bb17b78adaa3d5fad9716328c3d262,9503093973055988208475839,9503093.973055988208475839,129,True,delegated_EOA,delegated_EOA,8502029.3234290595597932015176182830438092897303269997041099495241,1001064.6496269286486826374823817169561907102696730002958900504759,89.465908129865540588132094293112009551865810772644034243753262523,0.0072776558638027067762773064166294639762956383892397965449824346124,0.0000029247287008320226209609490522430716670812883354750107558945430637,,27144863.568991680076627281962281767513580853501264394522560280001,0.0027996574313495935294158405539863305580703650430209365425075745679,0.0000011259046527520313092872739865253689198174802302168260507637415515,85,129,1198997.1463035518611944440377182324864191464987356054774397199992,61874.843559876055119930061041947513927982404893444409695237244191
16,0x489618a8169bd69a0069d2f9ba16c0e180a23a18,9411000933221830925700724,9411000.933221830925700724,1,True,EOA,EOA,9411000.9332218309257007240000000000000000000000,0,100.0000000000000000000000000000000000000000,0.00011489946311964358342043953575911883578720502856091712636161960898,4.5481667433137639032239555752393227614807824315997232405350755109E-8,0.00011489946311964358342043953575911883578720502856091712636161960898,26755928.958047189079439661,0.00011489946311964358342043953575911883578720502856091712636161960897,4.5481667433137639032239555752393227614807824315997232405350755110E-8,1,1,0,1081.3189546456531084635665354746741233239802950319543052633541569
